ID:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     6  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
TIME:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2  0.18126      0.17277       95.318      1.10760E-02   1.3886      1.10765E-02  1.16107E-02  1.79091E-02  1.87040E-02  1.97639E-02  2.47502E-02  3.36329E-02  4.13071E-02  4.66156E-02  6.62102E-02  7.57313E-02  0.12870      0.22240      0.25724      0.36844      0.41241      0.47615      0.67323      0.99312       1.0271       1.1658       1.3244       1.3885    
     3   8.0877       5.2522       64.941      0.24690       36.742      0.24699      0.36982      0.56273      0.89936      0.99366       1.5430       2.0266       2.6022       2.9103       3.9132       4.4914       6.8582       10.294       11.367       14.894       16.163       17.679       22.398       27.816       28.742       31.777       34.475       36.741    
     4   8.0877       5.2522       64.941      0.24690       36.742      0.24699      0.36982      0.56273      0.89936      0.99366       1.5430       2.0266       2.6022       2.9103       3.9132       4.4914       6.8582       10.294       11.367       14.894       16.163       17.679       22.398       27.816       28.742       31.777       34.475       36.741    
     5   8.1512       5.2096       63.913      0.86977       36.742      0.86985      0.95177       1.2980       1.3616       1.4220       1.7152       2.2391       2.6942       2.9645       4.0268       4.5604       6.9291       10.305       11.367       14.894       16.163       17.679       22.398       27.816       28.742       31.777       34.475       36.741    
     6   158.75       32.758       20.635       73.503       200.00       73.512       80.394       82.604       84.429       85.555       95.124       102.30       108.25       112.58       126.77       133.10       159.85       190.92       197.45       199.77       199.87       199.92       199.95       199.97       199.98       199.99       199.99       200.00    
EVID:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     3   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     4   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     5   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     6   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
MDV:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     3   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     4   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     5   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     6   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
DV:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2   1.1104      0.28550       25.710      0.89117       5.4395      0.89118      0.89871      0.91433      0.93351      0.93672      0.95525      0.96997      0.98340      0.99338       1.0237       1.0329       1.0841       1.1329       1.1457       1.1798       1.1948       1.2198       1.2708       1.3888       3.0558       3.5054       4.6247       5.4389    
     3   7.6777       1.2239       15.941       2.9826       11.535       2.9827       3.0577       3.5094       4.3082       4.7508       5.2937       5.7943       6.0033       6.1924       6.6651       6.8828       7.6783       8.4589       8.6841       9.2443       9.4020       9.6189       10.226       10.753       10.986       11.111       11.286       11.535    
     4   7.6777       1.2239       15.941       2.9826       11.535       2.9827       3.0577       3.5094       4.3082       4.7508       5.2937       5.7943       6.0033       6.1924       6.6651       6.8828       7.6783       8.4589       8.6841       9.2443       9.4020       9.6189       10.226       10.753       10.986       11.111       11.286       11.535    
     5   7.7116       1.1716       15.193       4.2873       11.535       4.2875       4.6205       4.9138       5.0263       5.1957       5.4880       5.8884       6.0576       6.2490       6.6888       6.8936       7.6858       8.4644       8.6976       9.2463       9.4105       9.6749       10.226       10.753       10.986       11.111       11.286       11.535    
     6  0.49139      0.16602       33.786      0.12595       1.7293      0.12595      0.14017      0.18852      0.20269      0.25486      0.29949      0.33237      0.34578      0.36393      0.40075      0.41573      0.46109      0.50711      0.52092      0.63612      0.70453      0.82415      0.97240       1.2441       1.3275       1.4150       1.5874       1.7292    
IPRED:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2   1.1104      0.28550       25.710      0.89117       5.4395      0.89118      0.89871      0.91433      0.93351      0.93672      0.95525      0.96997      0.98340      0.99338       1.0237       1.0329       1.0841       1.1329       1.1457       1.1798       1.1948       1.2198       1.2708       1.3888       3.0558       3.5054       4.6247       5.4389    
     3   7.6777       1.2239       15.941       2.9826       11.535       2.9827       3.0577       3.5094       4.3082       4.7508       5.2937       5.7943       6.0033       6.1924       6.6651       6.8828       7.6783       8.4589       8.6841       9.2443       9.4020       9.6189       10.226       10.753       10.986       11.111       11.286       11.535    
     4   7.6777       1.2239       15.941       2.9826       11.535       2.9827       3.0577       3.5094       4.3082       4.7508       5.2937       5.7943       6.0033       6.1924       6.6651       6.8828       7.6783       8.4589       8.6841       9.2443       9.4020       9.6189       10.226       10.753       10.986       11.111       11.286       11.535    
     5   7.7116       1.1716       15.193       4.2873       11.535       4.2875       4.6205       4.9138       5.0263       5.1957       5.4880       5.8884       6.0576       6.2490       6.6888       6.8936       7.6858       8.4644       8.6976       9.2463       9.4105       9.6749       10.226       10.753       10.986       11.111       11.286       11.535    
     6  0.49139      0.16602       33.786      0.12595       1.7293      0.12595      0.14017      0.18852      0.20269      0.25486      0.29949      0.33237      0.34578      0.36393      0.40075      0.41573      0.46109      0.50711      0.52092      0.63612      0.70453      0.82415      0.97240       1.2441       1.3275       1.4150       1.5874       1.7292    
